Date,CHF to EUR
2024-01-01,1.0761
2024-01-02,1.0750
2024-01-03,1.0782
2024-01-04,1.0744
2024-01-05,1.0743
2024-01-08,1.0768
2024-01-09,1.0733
2024-01-10,1.0714
2024-01-11,1.0699
2024-01-12,1.0697
2024-01-15,1.0672
2024-01-16,1.0672
2024-01-17,1.0629
2024-01-18,1.0592
2024-01-19,1.0561
2024-01-22,1.0575
2024-01-23,1.0592
2024-01-24,1.0649
2024-01-25,1.0632
2024-01-26,1.0659
2024-01-29,1.0714
2024-01-30,1.0701
2024-01-31,1.0733
2024-02-01,1.0723
2024-02-02,1.0679
2024-02-05,1.0692
2024-02-06,1.0693
2024-02-07,1.0613
2024-02-08,1.0623
2024-02-09,1.0597
2024-02-12,1.0600
2024-02-13,1.0526
2024-02-14,1.0527
2024-02-15,1.0550
2024-02-16,1.0536
2024-02-19,1.0512
2024-02-20,1.0489
2024-02-21,1.0510
2024-02-22,1.0496
2024-02-23,1.0483
2024-02-26,1.0473
2024-02-27,1.0493
2024-02-28,1.0499
2024-02-29,1.0462
2024-03-01,1.0427
2024-03-04,1.0407
2024-03-05,1.0426
2024-03-06,1.0402
2024-03-07,1.0408
2024-03-08,1.0410
2024-03-11,1.0429
2024-03-12,1.0428
2024-03-13,1.0393
2024-03-14,1.0392
2024-03-15,1.0380
2024-03-18,1.0363
2024-03-19,1.0363
2024-03-20,1.0327
2024-03-21,1.0256
2024-03-22,1.0257
2024-03-25,1.0256
2024-03-26,1.0215
2024-03-27,1.0215
2024-03-28,1.0280
2024-03-29,1.0262
2024-04-01,1.0292
2024-04-02,1.0228
2024-04-03,1.0221
2024-04-04,1.0238
2024-04-05,1.0227
2024-04-08,1.0168
2024-04-09,1.0196
2024-04-10,1.0201
2024-04-11,1.0247
2024-04-12,1.0263
2024-04-15,1.0322
2024-04-16,1.0318
2024-04-17,1.0291
2024-04-18,1.0297
2024-04-19,1.0301
2024-04-22,1.0292
2024-04-23,1.0247
2024-04-24,1.0220
2024-04-25,1.0216
2024-04-26,1.0220
2024-04-29,1.0243
2024-04-30,1.0195
2024-05-01,1.0182
2024-05-02,1.0243
2024-05-03,1.0262
2024-05-06,1.0247
2024-05-07,1.0235
2024-05-08,1.0245
2024-05-09,1.0238
2024-05-10,1.0235
2024-05-13,1.0204
2024-05-14,1.0196
2024-05-15,1.0185
2024-05-16,1.0155
2024-05-17,1.0112
2024-05-20,1.0114
2024-05-21,1.0113
2024-05-22,1.0091
2024-05-23,1.0116
2024-05-24,1.0068
2024-05-27,1.0080
2024-05-28,1.0096
2024-05-29,1.0138
2024-05-30,1.0220
2024-05-31,1.0203
2024-06-03,1.0237
2024-06-04,1.0330
2024-06-05,1.0299
2024-06-06,1.0322
2024-06-07,1.0322
2024-06-10,1.0361
2024-06-11,1.0370
2024-06-12,1.0343
2024-06-13,1.0417
2024-06-14,1.0467
2024-06-17,1.0474
2024-06-18,1.0529
2024-06-19,1.0526
2024-06-20,1.0477
2024-06-21,1.0465
2024-06-24,1.0433
2024-06-25,1.0432
2024-06-26,1.0438
2024-06-27,1.0398
2024-06-28,1.0378
2024-07-01,1.0313
2024-07-02,1.0297
2024-07-03,1.0281
2024-07-04,1.0276
2024-07-05,1.0293
2024-07-08,1.0290
2024-07-09,1.0301
2024-07-10,1.0265
2024-07-11,1.0262
2024-07-12,1.0228
2024-07-15,1.0246
2024-07-16,1.0265
2024-07-17,1.0352
2024-07-18,1.0335
2024-07-19,1.0328
2024-07-22,1.0319
2024-07-23,1.0341
2024-07-24,1.0425
2024-07-25,1.0463
2024-07-26,1.0407
2024-07-29,1.0427
2024-07-30,1.0472
2024-07-31,1.0523
2024-08-01,1.0611
2024-08-02,1.0672
2024-08-05,1.0708
2024-08-06,1.0735
2024-08-07,1.0622
2024-08-08,1.0569
2024-08-09,1.0579
2024-08-12,1.0570
2024-08-13,1.0512
2024-08-14,1.0497
2024-08-15,1.0444
2024-08-16,1.0463
2024-08-19,1.0456
2024-08-20,1.0528
2024-08-21,1.0531
2024-08-22,1.0561
2024-08-23,1.0526
2024-08-26,1.0579
2024-08-27,1.0630
2024-08-28,1.0684
2024-08-29,1.0654
2024-08-30,1.0638
2024-09-02,1.0605
2024-09-03,1.0649
2024-09-04,1.0662
2024-09-05,1.0664
2024-09-06,1.0701
2024-09-09,1.0670
2024-09-10,1.0714
2024-09-11,1.0657
2024-09-12,1.0612
2024-09-13,1.0621
2024-09-16,1.0637
2024-09-17,1.0624
2024-09-18,1.0629
2024-09-19,1.0572
2024-09-20,1.0520
2024-09-23,1.0621
2024-09-24,1.0608
2024-09-25,1.0564
2024-09-26,1.0574
2024-09-27,1.0640
2024-09-30,1.0622
2024-10-01,1.0675
2024-10-02,1.0650
2024-10-03,1.0633
2024-10-04,1.0618
2024-10-07,1.0664
2024-10-08,1.0626
2024-10-09,1.0621
2024-10-10,1.0677
2024-10-11,1.0659
2024-10-14,1.0625
2024-10-15,1.0651
2024-10-16,1.0640
2024-10-17,1.0662
2024-10-18,1.0636
2024-10-21,1.0678
2024-10-22,1.0704
2024-10-23,1.0703
2024-10-24,1.0669
2024-10-25,1.0680
2024-10-28,1.0690
2024-10-29,1.0659
2024-10-30,1.0632
2024-10-31,1.0637
2024-11-01,1.0629
2024-11-04,1.0638
2024-11-05,1.0604
2024-11-06,1.0637
2024-11-07,1.0611
2024-11-08,1.0648
2024-11-11,1.0655
2024-11-12,1.0680
2024-11-13,1.0688
2024-11-14,1.0666
2024-11-15,1.0679
2024-11-18,1.0688
2024-11-19,1.0693
2024-11-20,1.0730
2024-11-21,1.0767
2024-11-22,1.0741
2024-11-25,1.0753
2024-11-26,1.0755
2024-11-27,1.0731
2024-11-28,1.0731
2024-11-29,1.0727
2024-12-02,1.0742
2024-12-03,1.0735
2024-12-04,1.0764
