latitude,longitude,mean_solar_incidence_kwh_m2_per_hour,rank
46.7,10.7,2.3118345568032783,1
46.6,10.6,2.304563831830601,2
46.5,10.5,2.292172362295082,3
46.5,10.4,2.2865431325136614,4
46.8,10.7,2.285850434535519,5
46.7,10.6,2.284379790819672,6
46.6,10.5,2.2836869310109287,7
46.6,10.7,2.2827329069945357,8
46.5,10.6,2.2729494072404375,9
46.5,10.3,2.2609524896448083,10
46.6,10.4,2.2468132342349727,11
46.7,10.5,2.236656184945355,12
46.5,10.2,2.236445165327869,13
46.8,10.6,2.2349808249180327,14
46.5,10.7,2.2338848020491806,15
46.4,10.5,2.2305072287978143,16
46.6,10.3,2.221312241939891,17
46.4,10.4,2.2145390170765027,18
46.5,10.1,2.2131197384153003,19
46.4,10.6,2.202169919262295,20
46.6,10.2,2.2011960679508196,21
46.7,10.4,2.1974142184699454,22
46.5,10.0,2.1914667509836065,23
46.4,10.3,2.190152510546448,24
46.8,10.5,2.18407020568306,25
46.9,10.7,2.182957006803279,26
46.6,10.1,2.1809656638797814,27
46.5,9.9,2.170501669918033,28
46.7,10.3,2.1702472052732245,29
46.3,10.5,2.168157586912568,30
46.0,7.8,2.165728175382514,31
46.4,10.7,2.164929541284153,32
46.4,10.2,2.1647082548907104,33
46.0,7.6,2.16350922284153,34
46.0,7.7,2.1617956675409835,35
46.6,10.0,2.1612669517213114,36
45.9,7.6,2.160215756147541,37
45.9,7.7,2.1583853663661206,38
45.9,7.8,2.155481455355191,39
46.7,10.2,2.1552557315846994,40
46.0,7.9,2.154907463497268,41
46.0,7.5,2.1529112666120223,42
46.8,10.4,2.1516457082786884,43
45.9,7.5,2.1510738239071037,44
46.5,9.8,2.147066297295082,45
45.9,7.9,2.1466578724316943,46
46.1,7.9,2.144941973579235,47
46.4,10.1,2.144484298142076,48
46.3,10.4,2.144186717021858,49
46.9,10.6,2.139196629918033,50
46.6,9.9,2.139052704672131,51
46.7,10.1,2.139028787240437,52
46.1,7.8,2.1357843734699458,53
46.4,10.0,2.1348551062021857,54
46.1,8.0,2.134173035245902,55
46.3,10.6,2.133592389453552,56
46.0,8.0,2.1320088910655737,57
46.0,7.4,2.1315417807377046,58
45.9,7.4,2.1281833390710383,59
46.4,9.9,2.12573548215847,60
46.8,10.3,2.124465988333333,61
46.2,7.9,2.121358097732241,62
46.7,10.0,2.1209552826229507,63
46.1,7.7,2.1189582544808743,64
46.5,9.7,2.117383127677596,65
46.3,10.3,2.116903644153006,66
46.1,7.6,2.1157480526502734,67
46.2,7.8,2.1104086545628418,68
46.6,9.8,2.110068175819672,69
46.2,8.0,2.1097785838251366,70
46.8,10.2,2.109559473797814,71
45.9,8.0,2.1058984569398906,72
46.1,7.5,2.1053504878688525,73
46.4,9.8,2.1050978036885244,74
46.3,10.7,2.0994138720491806,75
45.8,7.6,2.0979638518579233,76
46.0,7.3,2.097851774344262,77
46.2,10.5,2.0977935853825134,78
46.9,10.5,2.0973923163934423,79
45.7,6.8,2.0953968276775954,80
45.8,7.7,2.0953716054371583,81
46.3,7.9,2.094963564617486,82
46.2,8.1,2.094728464945355,83
46.8,10.1,2.094556502978142,84
45.9,7.3,2.0943963510382515,85
46.2,7.7,2.0942144752459018,86
46.1,8.1,2.093457376775956,87
46.7,9.9,2.0927909397814206,88
45.8,7.5,2.090277700546448,89
